city,latitude,longitude
san francisco,37.7833333333333,-122.4166666666660
oakland,37.8044444444444,-122.2708333333330
berkeley,37.8716666666666,-122.2727777777770
san mateo,37.5541666666666,-122.3130555555550
palo alto,37.4291666666666,-122.1380555555550
alameda,37.7561111111111,-122.2744444444440
san rafael,37.9736111111111,-122.5311111111110
hayward,37.6688888888888,-122.0808333333330
emeryville,37.83138889,-122.2852778
redwood city,37.48277778,-122.2361111
daly city,37.68638889,-122.4683333
san leandro,37.725,-122.1561111
walnut creek,37.90638889,-122.065
vallejo,38.11305556,-122.2358333
menlo park,37.45277778,-122.1833333
richmond,37.93583333,-122.3477778
south san francisco,37.65611111,-122.4255556
mountain view,37.38944444,-122.0819444
novato,38.1075,-122.5697222
burlingame,37.58333333,-122.3636111
pleasant hill,37.94805556,-122.0525
castro valley,37.6898305740000,-122.0851663260000
stanford,37.424107,-122.166077
el cerrito,37.91583333,-122.3116667
pacifica,37.62277778,-122.4855556
martinez,38.01944444,-122.1341667
mill valley,37.90611111,-122.545
san bruno,37.62527778,-122.4252778
san pablo,37.96222222,-122.3455556
belmont,37.51805556,-122.2916667
albany,37.88694444,-122.2977778
san carlos,37.49916667,-122.2633333
benicia,38.06333333,-122.1561111
lafayette,37.88583333,-122.1180556
sausalito,37.85916667,-122.4852778
millbrae,37.60083333,-122.4013889
san anselmo,37.97472222,-122.5616667
el sobrante,37.980469,-122.300835
san lorenzo,37.681152,-122.12413
fairfax,37.98722222,-122.5888889
hercules,38.01722222,-122.2886111
pinole,38.00444444,-122.2911111
half moon bay,37.45888889,-122.4369444
fremont,37.54833333,-121.9886111
green brae,37.947632,-122.525261
orinda,37.88277778,-122.1797222
moraga,37.835,-122.1297222
larkspur,37.93416667,-122.5352778
corte madera,37.92555556,-122.5275
belvedere tiburon,37.87277778,-122.4644444
atherton,37.45861111,-122.2
brisbane,37.68083333,-122.4191667
rodeo,38.032977,-122.266914
crockett,38.052421,-122.213024
el granada,37.502718,-122.469421
foster city,37.55138889,-122.2663889
